wind_speed,lower_wind_speed,upper_wind_speed,E33_power_lower,E44_power_lower,E48_power_lower,E53_power_lower,E70_power_lower,E82_power_lower,E33_power_upper,E44_power_upper,E48_power_upper,E53_power_upper,E70_power_upper,E82_power_upper,E33_power_output,E44_power_output,E48_power_output,E53_power_output,E70_power_output,E82_power_output,E33_efficiency,E44_efficiency,E48_efficiency,E53_efficiency,E70_efficiency,E82_efficiency
12.69825,12,13,320,710,750,780,1900,2000,335,790,790,810,2080,2050,330.47375,765.86,777.93,800.9475,2025.685,2034.9125,0.300757483,0.401621025,0.342791821,0.290579594,0.407969429,0.307248974
11.8125,11,12,292.8,600,671,744,1590,1890,320,710,750,780,1900,2000,314.9,689.375,735.1875,773.25,1841.875,1979.375,0.356006796,0.449085195,0.402433569,0.348487452,0.460810129,0.371260664
11.5255,11,12,292.8,600,671,744,1590,1890,320,710,750,780,1900,2000,307.0936,657.805,712.5145,762.918,1752.905,1947.805,0.373768358,0.46133512,0.419890388,0.370161476,0.472135203,0.393316777
10.74825,10,11,250,466,555,645,1223,1612,292.8,600,671,744,1590,1890,282.0251,566.2655,641.797,719.07675,1497.60775,1820.0135,0.423238899,0.489672255,0.46634353,0.430184393,0.49736146,0.45314548
9.9305,9,10,196,340,405,480,892,1180,250,466,555,645,1223,1612,246.247,457.243,544.575,633.5325,1199.9955,1581.976,0.468563757,0.50134004,0.501725187,0.48056068,0.505305003,0.499416474
9.989,9,10,196,340,405,480,892,1180,250,466,555,645,1223,1612,249.406,464.614,553.35,643.185,1219.359,1607.248,0.466285542,0.500524022,0.500905068,0.479360837,0.504490366,0.498532155
10.29825,10,11,250,466,555,645,1223,1612,292.8,600,671,744,1590,1890,262.7651,505.9655,589.597,674.52675,1332.45775,1694.9135,0.448320381,0.497426921,0.487064553,0.458776926,0.503095559,0.47977053
10.128,10,11,250,466,555,645,1223,1612,292.8,600,671,744,1590,1890,255.4784,483.152,569.848,657.672,1269.976,1647.584,0.458241272,0.499357269,0.494890938,0.47025233,0.504094273,0.490289744
10.8795,10,11,250,466,555,645,1223,1612,292.8,600,671,744,1590,1890,287.6426,583.853,657.022,732.0705,1545.7765,1856.501,0.416233938,0.48682781,0.460335696,0.422297761,0.495002303,0.445702119
11.64025,11,12,292.8,600,671,744,1590,1890,320,710,750,780,1900,2000,310.2148,670.4275,721.57975,767.049,1788.4775,1960.4275,0.36651072,0.456418847,0.412780302,0.361267477,0.467610103,0.384273276
11.559,11,12,292.8,600,671,744,1590,1890,320,710,750,780,1900,2000,308.0048,661.49,715.161,764.124,1763.29,1951.49,0.37162745,0.459897623,0.417796293,0.367532485,0.47081499,0.390644631
12.1125,12,13,320,710,750,780,1900,2000,335,790,790,810,2080,2050,321.6875,719,754.5,783.375,1920.25,2005.625,0.33732141,0.434436387,0.383071132,0.327462082,0.445598512,0.348919053
14.79225,14,15,335,850,810,810,2230,2050,335,880,810,810,2300,2050,335,873.7675,810,810,2285.4575,2050,0.192864895,0.289862374,0.225789559,0.185898115,0.291177467,0.195806664
14.9925,14,15,335,850,810,810,2230,2050,335,880,810,810,2300,2050,335,879.775,810,810,2299.475,2050,0.185239554,0.280316148,0.216862469,0.178548221,0.281380403,0.188065013
12.6725,12,13,320,710,750,780,1900,2000,335,790,790,810,2080,2050,330.0875,763.8,776.9,800.175,2021.05,2033.625,0.302240926,0.402987362,0.344429049,0.292072562,0.409522235,0.308930149
12.57775,12,13,320,710,750,780,1900,2000,335,790,790,810,2080,2050,328.66625,756.22,773.11,797.3325,2003.995,2028.8875,0.307791999,0.40807309,0.350553225,0.297661916,0.415312581,0.315228454
11.226,11,12,292.8,600,671,744,1590,1890,320,710,750,780,1900,2000,298.9472,624.86,688.854,752.136,1660.06,1914.86,0.393758977,0.474248847,0.439312562,0.394924379,0.483878137,0.418444857
11.59675,11,12,292.8,600,671,744,1590,1890,320,710,750,780,1900,2000,309.0316,665.6425,718.14325,765.483,1774.9925,1955.6425,0.369236902,0.458279923,0.415454769,0.364602252,0.46932638,0.387665277
12.78725,12,13,320,710,750,780,1900,2000,335,790,790,810,2080,2050,331.80875,772.98,781.49,803.6175,2041.705,2039.3625,0.295710985,0.396949685,0.337220143,0.285502949,0.402669608,0.301536078
12.1735,12,13,320,710,750,780,1900,2000,335,790,790,810,2080,2050,322.6025,723.88,756.94,785.205,1931.23,2008.675,0.333221059,0.43084283,0.378561659,0.323317608,0.441443318,0.344222786
13.99325,13,14,335,790,790,810,2080,2050,335,850,810,810,2230,2050,335,849.595,809.865,810,2228.9875,2050,0.227824339,0.332931464,0.266672604,0.219594734,0.335458794,0.231299345
14.5475,14,15,335,850,810,810,2230,2050,335,880,810,810,2300,2050,335,866.425,810,810,2268.325,2050,0.202763977,0.302179188,0.23737855,0.195439617,0.303827801,0.205856737
12.21975,12,13,320,710,750,780,1900,2000,335,790,790,810,2080,2050,323.29625,727.58,758.79,786.5925,1939.555,2010.9875,0.330160259,0.428146563,0.375194261,0.320225211,0.438331281,0.340720865
10.07875,10,11,250,466,555,645,1223,1612,292.8,600,671,744,1590,1890,253.3705,476.5525,564.135,652.79625,1251.90125,1633.8925,0.461155213,0.499792122,0.497146719,0.473642118,0.504240103,0.493378002
11.952,11,12,292.8,600,671,744,1590,1890,320,710,750,780,1900,2000,318.6944,704.72,746.208,778.272,1885.12,1994.72,0.347827384,0.443193637,0.394329891,0.338611992,0.455307261,0.361190658
